-16.422383,-38.98655,Porto Seguro-BA,28,28,28,28,27,26,26,24,26,26,26,27,27,27,28,29,27,26,25,25,26,26,26,26,27,27,27,27,27,25,25,25,25,25,26,26,26,27,28,28,27,26,26,25,25,26,26,27,26,27,28,28,27,26,25,25,25,26,25,26,27,27,28,29,26,26,26,26,26,26,25,26,28,29,28,28,28,25,25,25,25,25,26,26,27,27,27,28,27,25,25,25,25,25,25,26,27,27,27,27,27,27,26,25,25,25,26,27,27,28,27,28,27,27,26,26,26,26,26,25,27,28,28,29,27,26,26,25,25,25
-3.854206,-32.445267,Fernando de Noronha-PE,28,28,28,28,28,28,27,26,26,27,27,27,27,28,28,29,29,28,27,26,26,27,27,27,27,28,29,29,29,28,27,27,27,27,27,27,27,29,28,29,28,28,27,26,26,26,27,27,27,28,29,30,30,28,27,27,26,27,27,27,28,29,29,31,30,29,27,27,26,27,27,27,28,28,29,29,29,29,28,27,27,27,28,27,28,28,30,29,29,28,28,27,26,27,27,27,27,27,28,28,28,28,27,26,26,26,27,27,28,28,28,29,29,28,27,27,27,27,27,27,27,28,28,29,29,28,27,26,26,27
-20.483333,-29.3,Ilha da Trindade,27,27,27,27,26,25,25,24,23,24,24,26,27,27,28,27,26,25,24,24,23,24,25,26,26,28,29,28,27,25,24,23,23,23,24,26,27,27,28,27,26,25,24,24,23,23,24,25,26,28,28,28,27,26,24,24,24,24,25,26,27,28,28,28,26,25,25,24,24,25,26,28,28,29,29,28,27,25,24,23,23,23,25,26,26,27,28,27,26,25,24,24,24,24,24,25,26,26,27,27,26,25,24,24,23,24,25,25,26,27,28,27,27,26,25,24,24,24,24,26,27,28,28,28,27,26,24,24,23,24
-8.757908,-35.085923,Tamandare-PE,28,29,29,29,29,27,27,26,26,27,27,28,28,29,29,30,29,28,27,26,27,27,27,28,28,29,29,30,29,27,27,26,27,27,27,28,28,29,29,29,29,27,27,26,26,27,27,27,28,29,29,29,29,28,26,26,26,27,27,27,28,29,29,29,29,28,27,27,27,27,28,28,29,29,30,30,29,29,27,26,27,27,27,27,28,29,29,29,28,27,26,27,27,27,28,28,28,28,29,29,29,28,27,26,26,27,27,27,28,29,29,29,28,28,27,27,27,27,27,28,28,29,29,30,28,28,27,27,27,27
-20.666667,-40.366667,Guarapari- ES,25,25,25,25,25,24,22,23,23,23,23,25,25,26,26,26,25,24,23,23,22,23,24,23,26,24,26,26,25,24,23,23,22,22,24,24,24,25,25,26,25,23,23,23,23,23,23,24,22,24,26,26,25,24,23,23,23,23,24,23,25,25,25,27,25,23,23,22,22,24,23,24,24,26,26,26,25,24,23,22,22,23,24,23,24,24,25,25,25,23,23,22,22,23,23,22,23,25,24,25,25,24,23,23,22,22,24,24,24,24,25,25,25,24,24,23,22,23,24,23,24,25,25,26,25,24,23,23,22,22
-0.8703,-44.279033,Parcel do ML-MA,28,28,28,29,29,28,27,27,27,27,27,27,28,28,29,29,29,28,28,27,27,27,28,28,28,28,28,29,29,28,28,27,27,27,28,28,28,28,29,29,29,28,27,27,27,27,27,28,28,28,29,29,28,29,27,27,27,27,27,28,28,28,28,28,28,28,27,27,27,27,27,28,28,29,29,29,29,29,28,27,27,28,28,28,28,28,29,29,28,28,28,27,27,27,28,28,28,28,28,28,28,28,27,27,27,27,27,28,28,28,28,29,29,28,28,27,27,27,27,28,28,28,28,28,29,28,27,27,27,27
-12.814167,-38.573611,Salvador-BA,30,30,30,29,28,27,26,25,26,27,28,28,29,29,30,29,28,27,25,26,27,27,28,28,29,30,29,30,27,25,25,26,26,27,28,28,29,29,29,29,28,26,26,25,26,27,27,28,29,29,30,30,29,27,25,25,26,27,28,28,29,29,29,30,27,27,27,27,27,28,28,29,29,31,30,29,29,28,26,26,26,27,28,28,29,29,30,29,27,26,26,26,26,26,27,28,29,28,29,29,28,27,26,26,26,27,28,29,29,29,30,30,28,27,26,26,27,27,28,27,29,29,29,30,28,27,26,26,26,26
-23.146944,-44.321667,Ilha Grande-RJ,26,27,26,27,25,23,23,22,23,23,24,25,26,27,28,28,25,24,23,23,22,23,24,24,26,28,28,26,24,24,23,23,23,23,26,26,26,28,29,27,24,23,23,21,22,24,,25,27,27,27,27,24,24,22,23,23,25,25,26,28,28,28,26,25,23,23,22,24,24,28,28,28,30,28,27,25,23,23,22,22,23,24,27,29,29,26,27,24,22,22,22,22,22,23,22,26,27,26,26,24,24,23,22,23,24,24,26,27,29,28,25,25,24,23,22,22,22,26,28,30,28,28,26,25,23,23,22,23,23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,Longitude,Locality,10-year average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.870556,-45.440644,Ilhabela-SP,24.51162791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.753889,-41.901111,Armacao dos Buzios-RJ,23.58461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-22.967778,-42.006011,Arraial do Cabo- RJ,23.47692308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-17.966867,-39.197817,Abrolhos-BA,26.42307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7.1129,-34.812975,Jo‹o Pessoa-PB,28.23846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.866778,-33.802047,Atol das Rocas-RN,27.60769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.598289,-38.406592,Fortaleza-CE,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-16.422383,-38.98655,Porto Seguro-BA,26.38461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.854206,-32.445267,Fernando de Noronha-PE,27.60769231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.483333,-29.3,Ilha da Trindade,25.59230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8.757908,-35.085923,Tamandare-PE,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-20.666667,-40.366667,Guarapari- ES,23.89230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8703,-44.279033,Parcel do ML-MA,27.83076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-12.814167,-38.573611,Salvador-BA,27.72307692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-23.146944,-44.321667,Ilha Grande-RJ,24.87596899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
